COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF HOSPITALIZATIONS,AGE-ADJUSTED HOSPITALIZATION RATE,COMMENT
Plumas,2016,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Child vs. adult,0–17 years,0–17 years,500,8.5,
Sacramento,2016,Child vs. adult,0–17 years,0–17 years,435,12,
San Benito,2016,Child vs. adult,0–17 years,0–17 years,13,9.2,
San Bernardino,2016,Child vs. adult,0–17 years,0–17 years,603,10.5,
San Diego,2016,Child vs. adult,0–17 years,0–17 years,659,8.1,
San Francisco,2016,Child vs. adult,0–17 years,0–17 years,203,14.3,
San Joaquin,2016,Child vs. adult,0–17 years,0–17 years,171,8.7,
San Luis Obispo,2016,Child vs. adult,0–17 years,0–17 years,37,7.7,
San Mateo,2016,Child vs. adult,0–17 years,0–17 years,89,5.5,
Santa Barbara,2016,Child vs. adult,0–17 years,0–17 years,76,7.5,
Santa Clara,2016,Child vs. adult,0–17 years,0–17 years,259,5.7,
Santa Cruz,2016,Child vs. adult,0–17 years,0–17 years,25,4.2,
Shasta,2016,Child vs. adult,0–17 years,0–17 years,36,9.8,
Sierra,2016,Child vs. adult,0–17 years,0–17 years,0,0,
Siskiyou,2016,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Child vs. adult,0–17 years,0–17 years,54,5.5,
Sonoma,2016,Child vs. adult,0–17 years,0–17 years,81,8.5,
Stanislaus,2016,Child vs. adult,0–17 years,0–17 years,88,6.1,
Sutter,2016,Child vs. adult,0–17 years,0–17 years,14,5.7,
Tehama,2016,Child vs. adult,0–17 years,0–17 years,12,7.7,
Trinity,2016,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Child vs. adult,0–17 years,0–17 years,131,9.1,
Tuolumne,2016,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2016,Child vs. adult,0–17 years,0–17 years,88,4.5,
Yolo,2016,Child vs. adult,0–17 years,0–17 years,35,7.3,
Yuba,2016,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Child vs. adult,18+ years,18+ years,"9,572",3.1,
Alameda,2016,Child vs. adult,18+ years,18+ years,458,3.5,
Alpine,2016,Child vs. adult,18+ years,18+ years,0,0,
Amador,2016,Child vs. adult,18+ years,18+ years,11,,Rate not available due to statistical instability
Butte,2016,Child vs. adult,18+ years,18+ years,43,2.6,
Calaveras,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Child vs. adult,18+ years,18+ years,338,3.7,
Del Norte,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Child vs. adult,18+ years,18+ years,44,3.2,
Fresno,2016,Child vs. adult,18+ years,18+ years,269,3.9,
Glenn,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Child vs. adult,18+ years,18+ years,36,3.7,
Imperial,2016,Child vs. adult,18+ years,18+ years,35,2.7,
Inyo,2016,Child vs. adult,18+ years,18+ years,0,0,
Kern,2016,Child vs. adult,18+ years,18+ years,174,2.9,
Kings,2016,Child vs. adult,18+ years,18+ years,31,3.1,
Lake,2016,Child vs. adult,18+ years,18+ years,18,4,
Lassen,2016,Child vs. adult,18+ years,18+ years,20,7.2,
Los Angeles,2016,Child vs. adult,18+ years,18+ years,"3,335",4.2,
Madera,2016,Child vs. adult,18+ years,18+ years,22,1.9,
Marin,2016,Child vs. adult,18+ years,18+ years,28,1.3,
Mariposa,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Child vs. adult,18+ years,18+ years,74,4.3,
Modoc,2016,Child vs. adult,18+ years,18+ years,0,0,
Mono,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2016,Child vs. adult,18+ years,18+ years,101,3.2,
Napa,2016,Child vs. adult,18+ years,18+ years,23,1.9,
Nevada,2016,Child vs. adult,18+ years,18+ years,15,2,
Orange,2016,Child vs. adult,18+ years,18+ years,530,2.1,
Placer,2016,Child vs. adult,18+ years,18+ years,43,1.5,
Plumas,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Child vs. adult,18+ years,18+ years,475,2.7,
Sacramento,2016,Child vs. adult,18+ years,18+ years,387,3.4,
San Benito,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Child vs. adult,18+ years,18+ years,616,3.9,
San Diego,2016,Child vs. adult,18+ years,18+ years,637,2.5,
San Francisco,2016,Child vs. adult,18+ years,18+ years,202,2.7,
San Joaquin,2016,Child vs. adult,18+ years,18+ years,146,2.8,
San Luis Obispo,2016,Child vs. adult,18+ years,18+ years,49,2.3,
San Mateo,2016,Child vs. adult,18+ years,18+ years,135,2,
Santa Barbara,2016,Child vs. adult,18+ years,18+ years,61,1.7,
Santa Clara,2016,Child vs. adult,18+ years,18+ years,435,2.8,
Santa Cruz,2016,Child vs. adult,18+ years,18+ years,48,2.5,
Shasta,2016,Child vs. adult,18+ years,18+ years,32,2.5,
Sierra,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Child vs. adult,18+ years,18+ years,112,3.3,
Sonoma,2016,Child vs. adult,18+ years,18+ years,72,1.6,
Stanislaus,2016,Child vs. adult,18+ years,18+ years,115,3.1,
Sutter,2016,Child vs. adult,18+ years,18+ years,12,1.5,
Tehama,2016,Child vs. adult,18+ years,18+ years,16,3.4,
Trinity,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Child vs. adult,18+ years,18+ years,93,2.9,
Tuolumne,2016,Child vs. adult,18+ years,18+ years,16,3.5,
Ventura,2016,Child vs. adult,18+ years,18+ years,124,1.8,
Yolo,2016,Child vs. adult,18+ years,18+ years,32,2.2,
Yuba,2016,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Age groups,0–4 years,0–4 years,"4,209",16.9,
Alameda,2016,Age groups,0–4 years,0–4 years,216,22.3,
Alpine,2016,Age groups,0–4 years,0–4 years,0,0,
Amador,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Age groups,0–4 years,0–4 years,17,14,
Calaveras,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Age groups,0–4 years,0–4 years,137,22,
Del Norte,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Fresno,2016,Age groups,0–4 years,0–4 years,257,32.8,
Glenn,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Age groups,0–4 years,0–4 years,12,16,
Imperial,2016,Age groups,0–4 years,0–4 years,37,22.4,
Inyo,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Age groups,0–4 years,0–4 years,69,9.8,
Kings,2016,Age groups,0–4 years,0–4 years,12,10.1,
Lake,2016,Age groups,0–4 years,0–4 years,12,31.8,
Lassen,2016,Age groups,0–4 years,0–4 years,0,0,
Los Angeles,2016,Age groups,0–4 years,0–4 years,"1,221",19.2,
Madera,2016,Age groups,0–4 years,0–4 years,34,29.8,
Marin,2016,Age groups,0–4 years,0–4 years,22,18.7,
Mariposa,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Age groups,0–4 years,0–4 years,12,22.9,
Merced,2016,Age groups,0–4 years,0–4 years,29,13.8,
Modoc,2016,Age groups,0–4 years,0–4 years,0,0,
Mono,2016,Age groups,0–4 years,0–4 years,0,0,
Monterey,2016,Age groups,0–4 years,0–4 years,36,11.2,
Napa,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2016,Age groups,0–4 years,0–4 years,293,15.3,
Placer,2016,Age groups,0–4 years,0–4 years,24,13,
Plumas,2016,Age groups,0–4 years,0–4 years,0,0,
Riverside,2016,Age groups,0–4 years,0–4 years,200,13.1,
Sacramento,2016,Age groups,0–4 years,0–4 years,209,21.4,
San Benito,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Age groups,0–4 years,0–4 years,255,16.8,
San Diego,2016,Age groups,0–4 years,0–4 years,350,15.7,
San Francisco,2016,Age groups,0–4 years,0–4 years,118,27.1,
San Joaquin,2016,Age groups,0–4 years,0–4 years,86,16.9,
San Luis Obispo,2016,Age groups,0–4 years,0–4 years,13,10,
San Mateo,2016,Age groups,0–4 years,0–4 years,53,12.3,
Santa Barbara,2016,Age groups,0–4 years,0–4 years,30,10.4,
Santa Clara,2016,Age groups,0–4 years,0–4 years,130,10.6,
Santa Cruz,2016,Age groups,0–4 years,0–4 years,15,9.4,
Shasta,2016,Age groups,0–4 years,0–4 years,21,21.3,
Sierra,2016,Age groups,0–4 years,0–4 years,0,0,
Siskiyou,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Age groups,0–4 years,0–4 years,31,11.9,
Sonoma,2016,Age groups,0–4 years,0–4 years,41,16.3,
Stanislaus,2016,Age groups,0–4 years,0–4 years,36,9.4,
Sutter,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2016,Age groups,0–4 years,0–4 years,0,0,
Tulare,2016,Age groups,0–4 years,0–4 years,71,18.7,
Tuolumne,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2016,Age groups,0–4 years,0–4 years,36,7,
Yolo,2016,Age groups,0–4 years,0–4 years,19,15.1,
Yuba,2016,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Age groups,5–17 years,5–17 years,"4,485",6.7,
Alameda,2016,Age groups,5–17 years,5–17 years,230,9.2,
Alpine,2016,Age groups,5–17 years,5–17 years,0,0,
Amador,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Age groups,5–17 years,5–17 years,18,5.5,
Calaveras,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Age groups,5–17 years,5–17 years,0,0,
Contra Costa,2016,Age groups,5–17 years,5–17 years,135,7.3,
Del Norte,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Age groups,5–17 years,5–17 years,14,5.3,
Fresno,2016,Age groups,5–17 years,5–17 years,251,12.2,
Glenn,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2016,Age groups,5–17 years,5–17 years,57,15.1,
Inyo,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Age groups,5–17 years,5–17 years,98,5.2,
Kings,2016,Age groups,5–17 years,5–17 years,19,5.4,
Lake,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2016,Age groups,5–17 years,5–17 years,"1,343",8,
Madera,2016,Age groups,5–17 years,5–17 years,41,13.2,
Marin,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Age groups,5–17 years,5–17 years,35,6,
Modoc,2016,Age groups,5–17 years,5–17 years,0,0,
Mono,2016,Age groups,5–17 years,5–17 years,0,0,
Monterey,2016,Age groups,5–17 years,5–17 years,36,4.2,
Napa,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2016,Age groups,5–17 years,5–17 years,259,4.9,
Placer,2016,Age groups,5–17 years,5–17 years,15,2.7,
Plumas,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Age groups,5–17 years,5–17 years,300,6.9,
Sacramento,2016,Age groups,5–17 years,5–17 years,226,8.6,
San Benito,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Age groups,5–17 years,5–17 years,348,8.2,
San Diego,2016,Age groups,5–17 years,5–17 years,309,5.4,
San Francisco,2016,Age groups,5–17 years,5–17 years,85,9.7,
San Joaquin,2016,Age groups,5–17 years,5–17 years,85,5.8,
San Luis Obispo,2016,Age groups,5–17 years,5–17 years,24,6.9,
San Mateo,2016,Age groups,5–17 years,5–17 years,36,2.9,
Santa Barbara,2016,Age groups,5–17 years,5–17 years,46,6.4,
Santa Clara,2016,Age groups,5–17 years,5–17 years,129,3.9,
Santa Cruz,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2016,Age groups,5–17 years,5–17 years,15,5.6,
Sierra,2016,Age groups,5–17 years,5–17 years,0,0,
Siskiyou,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Age groups,5–17 years,5–17 years,23,3.2,
Sonoma,2016,Age groups,5–17 years,5–17 years,40,5.6,
Stanislaus,2016,Age groups,5–17 years,5–17 years,52,4.9,
Sutter,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Age groups,5–17 years,5–17 years,60,5.6,
Tuolumne,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2016,Age groups,5–17 years,5–17 years,52,3.6,
Yolo,2016,Age groups,5–17 years,5–17 years,16,4.4,
Yuba,2016,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Age groups,18–64 years,18–64 years,"7,068",2.8,
Alameda,2016,Age groups,18–64 years,18–64 years,320,2.9,
Alpine,2016,Age groups,18–64 years,18–64 years,0,0,
Amador,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Age groups,18–64 years,18–64 years,35,2.8,
Calaveras,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Age groups,18–64 years,18–64 years,225,3.1,
Del Norte,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Age groups,18–64 years,18–64 years,32,3.2,
Fresno,2016,Age groups,18–64 years,18–64 years,199,3.4,
Glenn,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Age groups,18–64 years,18–64 years,30,4,
Imperial,2016,Age groups,18–64 years,18–64 years,21,2,
Inyo,2016,Age groups,18–64 years,18–64 years,0,0,
Kern,2016,Age groups,18–64 years,18–64 years,142,2.7,
Kings,2016,Age groups,18–64 years,18–64 years,27,3.2,
Lake,2016,Age groups,18–64 years,18–64 years,16,4.5,
Lassen,2016,Age groups,18–64 years,18–64 years,20,8.7,
Los Angeles,2016,Age groups,18–64 years,18–64 years,"2,451",3.7,
Madera,2016,Age groups,18–64 years,18–64 years,15,1.7,
Marin,2016,Age groups,18–64 years,18–64 years,20,1.2,
Mariposa,2016,Age groups,18–64 years,18–64 years,0,0,
Mendocino,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Age groups,18–64 years,18–64 years,57,3.9,
Modoc,2016,Age groups,18–64 years,18–64 years,0,0,
Mono,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2016,Age groups,18–64 years,18–64 years,79,3,
Napa,2016,Age groups,18–64 years,18–64 years,12,1.4,
Nevada,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2016,Age groups,18–64 years,18–64 years,342,1.7,
Placer,2016,Age groups,18–64 years,18–64 years,32,1.4,
Plumas,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Age groups,18–64 years,18–64 years,378,2.6,
Sacramento,2016,Age groups,18–64 years,18–64 years,321,3.4,
San Benito,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Age groups,18–64 years,18–64 years,511,3.8,
San Diego,2016,Age groups,18–64 years,18–64 years,493,2.4,
San Francisco,2016,Age groups,18–64 years,18–64 years,137,2.3,
San Joaquin,2016,Age groups,18–64 years,18–64 years,110,2.5,
San Luis Obispo,2016,Age groups,18–64 years,18–64 years,40,2.5,
San Mateo,2016,Age groups,18–64 years,18–64 years,68,1.4,
Santa Barbara,2016,Age groups,18–64 years,18–64 years,45,1.6,
Santa Clara,2016,Age groups,18–64 years,18–64 years,283,2.2,
Santa Cruz,2016,Age groups,18–64 years,18–64 years,34,2.3,
Shasta,2016,Age groups,18–64 years,18–64 years,31,2.9,
Sierra,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Age groups,18–64 years,18–64 years,82,3,
Sonoma,2016,Age groups,18–64 years,18–64 years,49,1.4,
Stanislaus,2016,Age groups,18–64 years,18–64 years,93,3.1,
Sutter,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Age groups,18–64 years,18–64 years,14,3.8,
Trinity,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016,Age groups,18–64 years,18–64 years,74,2.8,
Tuolumne,2016,Age groups,18–64 years,18–64 years,12,3.6,
Ventura,2016,Age groups,18–64 years,18–64 years,84,1.6,
Yolo,2016,Age groups,18–64 years,18–64 years,25,2,
Yuba,2016,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Age groups,65+ years,65+ years,"2,504",4.6,
Alameda,2016,Age groups,65+ years,65+ years,138,6.6,
Alpine,2016,Age groups,65+ years,65+ years,0,0,
Amador,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Calaveras,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Age groups,65+ years,65+ years,0,0,
Contra Costa,2016,Age groups,65+ years,65+ years,113,6.7,
Del Norte,2016,Age groups,65+ years,65+ years,0,0,
El Dorado,2016,Age groups,65+ years,65+ years,12,3.4,
Fresno,2016,Age groups,65+ years,65+ years,70,6.2,
Glenn,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Imperial,2016,Age groups,65+ years,65+ years,14,6.4,
Inyo,2016,Age groups,65+ years,65+ years,0,0,
Kern,2016,Age groups,65+ years,65+ years,32,3.5,
Kings,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lake,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2016,Age groups,65+ years,65+ years,0,0,
Los Angeles,2016,Age groups,65+ years,65+ years,884,6.6,
Madera,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Marin,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2016,Age groups,65+ years,65+ years,17,5.9,
Modoc,2016,Age groups,65+ years,65+ years,0,0,
Mono,2016,Age groups,65+ years,65+ years,0,0,
Monterey,2016,Age groups,65+ years,65+ years,22,4.1,
Napa,2016,Age groups,65+ years,65+ years,11,,Rate not available due to statistical instability
Nevada,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2016,Age groups,65+ years,65+ years,188,4.3,
Placer,2016,Age groups,65+ years,65+ years,11,,Rate not available due to statistical instability
Plumas,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Age groups,65+ years,65+ years,97,2.9,
Sacramento,2016,Age groups,65+ years,65+ years,66,3.3,
San Benito,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Age groups,65+ years,65+ years,105,4.5,
San Diego,2016,Age groups,65+ years,65+ years,144,3.2,
San Francisco,2016,Age groups,65+ years,65+ years,65,4.4,
San Joaquin,2016,Age groups,65+ years,65+ years,36,4,
San Luis Obispo,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
San Mateo,2016,Age groups,65+ years,65+ years,67,5.2,
Santa Barbara,2016,Age groups,65+ years,65+ years,16,2.3,
Santa Clara,2016,Age groups,65+ years,65+ years,152,5.8,
Santa Cruz,2016,Age groups,65+ years,65+ years,14,3.8,
Shasta,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Sierra,2016,Age groups,65+ years,65+ years,0,0,
Siskiyou,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Age groups,65+ years,65+ years,30,4.7,
Sonoma,2016,Age groups,65+ years,65+ years,23,2.7,
Stanislaus,2016,Age groups,65+ years,65+ years,22,3.2,
Sutter,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tehama,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Trinity,2016,Age groups,65+ years,65+ years,0,0,
Tulare,2016,Age groups,65+ years,65+ years,19,3.6,
Tuolumne,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Ventura,2016,Age groups,65+ years,65+ years,40,3.3,
Yolo,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2016,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2016,Race/ethnicity,White,All ages,"5,003",3.7,
Alameda,2016,Race/ethnicity,White,All ages,138,2.6,
Alpine,2016,Race/ethnicity,White,All ages,0,0,
Amador,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Butte,2016,Race/ethnicity,White,All ages,58,4.4,
Calaveras,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016,Race/ethnicity,White,All ages,175,3.5,
Del Norte,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016,Race/ethnicity,White,All ages,49,3.8,
Fresno,2016,Race/ethnicity,White,All ages,165,6.5,
Glenn,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016,Race/ethnicity,White,All ages,34,3.9,
Imperial,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016,Race/ethnicity,White,All ages,110,3.7,
Kings,2016,Race/ethnicity,White,All ages,26,5.2,
Lake,2016,Race/ethnicity,White,All ages,18,4.9,
Lassen,2016,Race/ethnicity,White,All ages,21,11.1,
Los Angeles,2016,Race/ethnicity,White,All ages,"1,034",4,
Madera,2016,Race/ethnicity,White,All ages,17,4,
Marin,2016,Race/ethnicity,White,All ages,36,2.5,
Mariposa,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016,Race/ethnicity,White,All ages,15,3.4,
Merced,2016,Race/ethnicity,White,All ages,33,4.6,
Modoc,2016,Race/ethnicity,White,All ages,0,0,
Mono,2016,Race/ethnicity,White,All ages,0,0,
Monterey,2016,Race/ethnicity,White,All ages,41,3.5,
Napa,2016,Race/ethnicity,White,All ages,19,2.6,
Nevada,2016,Race/ethnicity,White,All ages,23,3.6,
Orange,2016,Race/ethnicity,White,All ages,440,3.9,
Placer,2016,Race/ethnicity,White,All ages,61,2.8,
Plumas,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016,Race/ethnicity,White,All ages,338,4.4,
Sacramento,2016,Race/ethnicity,White,All ages,249,4.1,
San Benito,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2016,Race/ethnicity,White,All ages,316,5,
San Diego,2016,Race/ethnicity,White,All ages,416,3,
San Francisco,2016,Race/ethnicity,White,All ages,88,2.7,
San Joaquin,2016,Race/ethnicity,White,All ages,79,3.7,
San Luis Obispo,2016,Race/ethnicity,White,All ages,55,4,
San Mateo,2016,Race/ethnicity,White,All ages,71,2.4,
Santa Barbara,2016,Race/ethnicity,White,All ages,50,3.1,
Santa Clara,2016,Race/ethnicity,White,All ages,186,3,
Santa Cruz,2016,Race/ethnicity,White,All ages,49,3.7,
Shasta,2016,Race/ethnicity,White,All ages,51,4.4,
Sierra,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016,Race/ethnicity,White,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016,Race/ethnicity,White,All ages,56,3.4,
Sonoma,2016,Race/ethnicity,White,All ages,84,3.3,
